url,class,description
https://example.com/rose1.jpg,rose,Red rose flower
https://example.com/rose2.jpg,rose,Pink rose flower
https://example.com/sunflower1.jpg,sunflower,Yellow sunflower
https://example.com/sunflower2.jpg,sunflower,Large sunflower
https://example.com/tulip1.jpg,tulip,Red tulip
https://example.com/daisy1.jpg,daisy,White daisy
https://example.com/lily1.jpg,lily,White lily
https://example.com/carnation1.jpg,carnation,Pink carnation
https://example.com/orchid1.jpg,orchid,Purple orchid
https://example.com/peony1.jpg,peony,Pink peony
